Year,Gender,Age,Value
4,2012,,,5.1
5,2013,,,8.2
6,2014,,,11.5
7,2015,,,6.4
8,2016,,,7.9
9,2017,,,7.4
10,2018,,,4
11,2019,,,4.7
17,2012,Home,,6
18,2013,Home,,8.4
19,2014,Home,,11.4
20,2015,Home,,6.7
21,2016,Home,,6.8
22,2017,Home,,6.8
23,2018,Home,,3.8
24,2019,Home,,3.6
30,2012,Dona,,4.6
31,2013,Dona,,8
32,2014,Dona,,10.9
33,2015,Dona,,6.3
34,2016,Dona,,8.5
35,2017,Dona,,7.8
36,2018,Dona,,3.2
37,2019,Dona,,5.7
43,2012,,<16,6.2
44,2013,,<16,12.1
45,2014,,<16,19.5
46,2015,,<16,13.7
47,2016,,<16,11.9
48,2017,,<16,12.3
49,2018,,<16,7
50,2019,,<16,8.8
