Year,Gender,Age,Value
4,2012,,,26.1
5,2013,,,23.9
6,2014,,,29.4
7,2015,,,26.4
8,2016,,,28.5
9,2017,,,27.7
10,2018,,,29.8
11,2019,,,24.9
17,2012,Home,,27.8
18,2013,Home,,24.8
19,2014,Home,,30.1
20,2015,Home,,28.9
21,2016,Home,,28.6
22,2017,Home,,27.5
23,2018,Home,,30
24,2019,Home,,24.3
30,2012,Dona,,25.9
31,2013,Dona,,23.4
32,2014,Dona,,28.5
33,2015,Dona,,24
34,2016,Dona,,27.5
35,2017,Dona,,27.7
36,2018,Dona,,29
37,2019,Dona,,25.3
43,2012,,<16,29.1
44,2013,,<16,31.5
45,2014,,<16,34.1
46,2015,,<16,33.4
47,2016,,<16,35.5
48,2017,,<16,34.2
49,2018,,<16,34.5
50,2019,,<16,30.5
